Topic,Problem Name,LeetCode Link,Difficulty,Status,Notes
Arrays,Two Sum,https://leetcode.com/problems/two-sum/,Easy,Not Started,
Arrays,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,Not Started,
Arrays,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Easy,Not Started,
Arrays,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,Not Started,
Arrays,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Easy,Not Started,
Arrays,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,Not Started,
Arrays,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,Not Started,
Strings,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,Not Started,
Strings,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,Not Started,
Strings,Implement strStr(),https://leetcode.com/problems/implement-strstr/,Easy,Not Started,
Strings,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,Not Started,
Strings,Count and Say,https://leetcode.com/problems/count-and-say/,Easy,Not Started,
Strings,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,Not Started,
Strings,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,Not Started,
Binary Search,Binary Search,https://leetcode.com/problems/binary-search/,Easy,Not Started,
Binary Search,Search Insert Position,https://leetcode.com/problems/search-insert-position/,Easy,Not Started,
Binary Search,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Medium,Not Started,
Binary Search,Find Peak Element,https://leetcode.com/problems/find-peak-element/,Medium,Not Started,
Binary Search,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,Not Started,
Binary Search,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,Not Started,
Binary Search,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,Not Started,
Recursion,Factorial,https://leetcode.com/problems/factorial/,Easy,Not Started,
Recursion,Fibonacci Number,https://leetcode.com/problems/fibonacci-number/,Easy,Not Started,
Recursion,"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,Not Started,
Recursion,Permutations,https://leetcode.com/problems/permutations/,Medium,Not Started,
Recursion,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,Not Started,
Recursion,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,Not Started,
Recursion,N-Queens,https://leetcode.com/problems/n-queens/,Hard,Not Started,
Backtracking,Subsets,https://leetcode.com/problems/subsets/,Medium,Not Started,
Backtracking,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,Not Started,
Backtracking,Word Search,https://leetcode.com/problems/word-search/,Medium,Not Started,
Backtracking,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,Not Started,
Backtracking,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,Hard,Not Started,
Backtracking,N-Queens,https://leetcode.com/problems/n-queens/,Hard,Not Started,
Backtracking,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,Not Started,
Greedy,Jump Game,https://leetcode.com/problems/jump-game/,Medium,Not Started,
Greedy,Gas Station,https://leetcode.com/problems/gas-station/,Medium,Not Started,
Greedy,Candy,https://leetcode.com/problems/candy/,Hard,Not Started,
Greedy,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,Medium,Not Started,
Greedy,Partition Labels,https://leetcode.com/problems/partition-labels/,Medium,Not Started,
Greedy,Queue Reconstruction by Height,https://leetcode.com/problems/queue-reconstruction-by-height/,Medium,Not Started,
Greedy,Task Scheduler,https://leetcode.com/problems/task-scheduler/,Medium,Not Started,
Dynamic Programming,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,Not Started,
Dynamic Programming,House Robber,https://leetcode.com/problems/house-robber/,Medium,Not Started,
Dynamic Programming,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,Not Started,
Dynamic Programming,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,Medium,Not Started,
Dynamic Programming,Coin Change,https://leetcode.com/problems/coin-change/,Medium,Not Started,
Dynamic Programming,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,Medium,Not Started,
Dynamic Programming,Edit Distance,https://leetcode.com/problems/edit-distance/,Hard,Not Started,
Sliding Window,Maximum Average Subarray I,https://leetcode.com/problems/maximum-average-subarray-i/,Easy,Not Started,
Sliding Window,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,Not Started,
Sliding Window,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,Medium,Not Started,
Sliding Window,Permutation in String,https://leetcode.com/problems/permutation-in-string/,Medium,Not Started,
Sliding Window,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,Not Started,
Sliding Window,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium,Not Started,
Sliding Window,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,Not Started,
